product_id,category,sub_category,veces_solicitado,unidades_totales_vendidas,ingresos_totales
FUR-BAR-10004553,Furniture,Tables,3,3,568.0
FUR-BAR-10004561,Furniture,Tables,1,1,518.0
FUR-BAR-10004682,Furniture,Tables,1,4,2.012
FUR-BEV-10000326,Furniture,Tables,1,1,531.0
FUR-BEV-10000388,Furniture,Tables,1,1,316.0
FUR-BEV-10001048,Furniture,Tables,1,1,924.0
FUR-BEV-10001217,Furniture,Tables,1,2,1.07
FUR-BEV-10001853,Furniture,Tables,1,2,984.0
FUR-BEV-10002193,Furniture,Tables,1,6,1.249
FUR-BEV-10002369,Furniture,Tables,2,7,942.0
FUR-BEV-10002803,Furniture,Tables,1,1,925.0
FUR-BEV-10003414,Furniture,Tables,2,2,694.0
FUR-BEV-10004805,Furniture,Tables,1,2,1.843
FUR-BEV-10004919,Furniture,Tables,2,5,536.134
FUR-BO-10000002,Furniture,Bookcases,4,11,1124.3220000000001
FUR-BO-10000008,Furniture,Bookcases,1,2,465.0
FUR-BO-10000021,Furniture,Bookcases,1,2,243.0
FUR-BO-10000022,Furniture,Bookcases,3,14,2201.0
FUR-BO-10000034,Furniture,Bookcases,3,5,1451.0
FUR-BO-10000035,Furniture,Bookcases,5,21,774.541
FUR-BO-10000038,Furniture,Bookcases,4,18,2633.0
FUR-BO-10000071,Furniture,Bookcases,8,22,3046.0
FUR-BO-10000087,Furniture,Bookcases,10,34,3168.066
FUR-BO-10000112,Furniture,Bookcases,6,24,2394.0
FUR-BO-10000120,Furniture,Bookcases,2,10,74.189
FUR-BO-10000148,Furniture,Bookcases,4,11,818.0
FUR-BO-10000155,Furniture,Bookcases,4,20,1799.0
FUR-BO-10000160,Furniture,Bookcases,1,2,704.0
FUR-BO-10000170,Furniture,Bookcases,2,14,4.943
FUR-BO-10000175,Furniture,Bookcases,5,17,1933.0
FUR-BO-10000184,Furniture,Bookcases,1,3,158.0
FUR-BO-10000195,Furniture,Bookcases,3,12,1179.0
FUR-BO-10000203,Furniture,Bookcases,6,19,2891.987
FUR-BO-10000208,Furniture,Bookcases,5,33,2163.7290000000003
FUR-BO-10000210,Furniture,Bookcases,8,26,2121.682
FUR-BO-10000214,Furniture,Bookcases,1,3,292.0
FUR-BO-10000243,Furniture,Bookcases,4,28,894.8
FUR-BO-10000259,Furniture,Bookcases,6,21,1757.914
FUR-BO-10000265,Furniture,Bookcases,5,14,1330.036
FUR-BO-10000268,Furniture,Bookcases,4,11,1505.0
FUR-BO-10000269,Furniture,Bookcases,5,13,893.0
FUR-BO-10000279,Furniture,Bookcases,5,20,376.851
FUR-BO-10000288,Furniture,Bookcases,5,20,796.5790000000001
FUR-BO-10000311,Furniture,Bookcases,2,7,1236.0
FUR-BO-10000321,Furniture,Bookcases,2,10,894.0
FUR-BO-10000330,Furniture,Bookcases,3,10,1064.0
FUR-BO-10000362,Furniture,Bookcases,5,14,1130.026
FUR-BO-10000378,Furniture,Bookcases,4,15,1288.0
FUR-BO-10000402,Furniture,Bookcases,2,6,834.0
FUR-BO-10000411,Furniture,Bookcases,4,24,1786.035
FUR-BO-10000425,Furniture,Bookcases,2,8,960.0
FUR-BO-10000468,Furniture,Bookcases,6,21,724.0
FUR-BO-10000490,Furniture,Bookcases,4,23,7.785
FUR-BO-10000502,Furniture,Bookcases,6,20,1349.093
FUR-BO-10000514,Furniture,Bookcases,3,11,1313.275
FUR-BO-10000517,Furniture,Bookcases,1,8,260.0
FUR-BO-10000533,Furniture,Bookcases,1,4,494.0
FUR-BO-10000567,Furniture,Bookcases,8,43,2451.197
FUR-BO-10000596,Furniture,Bookcases,6,24,1542.499
FUR-BO-10000610,Furniture,Bookcases,4,13,1377.0
FUR-BO-10000616,Furniture,Bookcases,1,6,444.0
FUR-BO-10000623,Furniture,Bookcases,1,2,311.0
FUR-BO-10000624,Furniture,Bookcases,7,26,3269.034
FUR-BO-10000636,Furniture,Bookcases,5,18,1688.0
FUR-BO-10000655,Furniture,Bookcases,1,3,1.109
FUR-BO-10000666,Furniture,Bookcases,2,9,291.015
FUR-BO-10000668,Furniture,Bookcases,4,10,1340.039
FUR-BO-10000670,Furniture,Bookcases,5,30,3063.0
FUR-BO-10000676,Furniture,Bookcases,3,16,1361.0
FUR-BO-10000684,Furniture,Bookcases,5,16,1048.061
FUR-BO-10000699,Furniture,Bookcases,6,24,2467.333
FUR-BO-10000700,Furniture,Bookcases,1,2,233.0
FUR-BO-10000711,Furniture,Bookcases,2,12,852.0
FUR-BO-10000712,Furniture,Bookcases,1,2,251.0
FUR-BO-10000728,Furniture,Bookcases,13,56,4476.911
FUR-BO-10000734,Furniture,Bookcases,7,20,1255.0
FUR-BO-10000746,Furniture,Bookcases,5,17,1323.0
FUR-BO-10000780,Furniture,Bookcases,5,22,2947.0
FUR-BO-10000786,Furniture,Bookcases,4,23,2268.0370000000003
FUR-BO-10000791,Furniture,Bookcases,1,5,483.0
FUR-BO-10000797,Furniture,Bookcases,3,7,1072.0
FUR-BO-10000807,Furniture,Bookcases,1,4,473.0
FUR-BO-10000820,Furniture,Bookcases,1,4,598.0
FUR-BO-10000847,Furniture,Bookcases,5,19,2007.0
FUR-BO-10000883,Furniture,Bookcases,2,8,950.0
FUR-BO-10000889,Furniture,Bookcases,1,2,206.0
FUR-BO-10000891,Furniture,Bookcases,4,18,2148.322
FUR-BO-10000892,Furniture,Bookcases,1,6,759.0
FUR-BO-10000895,Furniture,Bookcases,5,16,1976.0
FUR-BO-10000936,Furniture,Bookcases,4,11,1867.0
FUR-BO-10000961,Furniture,Bookcases,5,21,2198.0
FUR-BO-10000967,Furniture,Bookcases,5,22,1827.5230000000001
FUR-BO-10000980,Furniture,Bookcases,7,15,2377.915
FUR-BO-10001003,Furniture,Bookcases,2,11,1556.0
FUR-BO-10001010,Furniture,Bookcases,4,20,2267.0
FUR-BO-10001039,Furniture,Bookcases,6,19,3043.546
FUR-BO-10001042,Furniture,Bookcases,7,25,1960.0
FUR-BO-10001067,Furniture,Bookcases,5,16,1033.0
FUR-BO-10001073,Furniture,Bookcases,4,18,1431.82
FUR-BO-10001099,Furniture,Bookcases,4,15,976.0
FUR-BO-10001133,Furniture,Bookcases,5,16,2159.143
FUR-BO-10001147,Furniture,Bookcases,6,19,2785.0
FUR-BO-10001155,Furniture,Bookcases,9,24,2900.0
FUR-BO-10001165,Furniture,Bookcases,4,14,1322.128
FUR-BO-10001192,Furniture,Bookcases,7,18,3156.422
FUR-BO-10001196,Furniture,Bookcases,4,17,1425.364
FUR-BO-10001201,Furniture,Bookcases,6,25,1811.0
FUR-BO-10001212,Furniture,Bookcases,7,24,3006.187
FUR-BO-10001216,Furniture,Bookcases,5,24,2128.3540000000003
FUR-BO-10001233,Furniture,Bookcases,2,9,754.0
FUR-BO-10001254,Furniture,Bookcases,1,2,288.0
FUR-BO-10001255,Furniture,Bookcases,4,16,2271.635
FUR-BO-10001256,Furniture,Bookcases,2,7,821.0
FUR-BO-10001271,Furniture,Bookcases,1,3,350.0
FUR-BO-10001276,Furniture,Bookcases,2,6,318.0
FUR-BO-10001287,Furniture,Bookcases,6,14,2245.0
FUR-BO-10001295,Furniture,Bookcases,3,11,1233.0
FUR-BO-10001309,Furniture,Bookcases,2,3,1236.0
FUR-BO-10001318,Furniture,Bookcases,1,4,418.0
FUR-BO-10001324,Furniture,Bookcases,3,16,1411.567
FUR-BO-10001326,Furniture,Bookcases,4,10,1447.0
FUR-BO-10001337,Furniture,Bookcases,10,28,2970.0
FUR-BO-10001342,Furniture,Bookcases,6,17,2346.0
FUR-BO-10001356,Furniture,Bookcases,9,28,5124.22
FUR-BO-10001358,Furniture,Bookcases,3,10,688.0
FUR-BO-10001362,Furniture,Bookcases,2,4,1315.0
FUR-BO-10001369,Furniture,Bookcases,4,7,666.0
FUR-BO-10001370,Furniture,Bookcases,2,3,1140.0
FUR-BO-10001372,Furniture,Bookcases,4,21,9.099
FUR-BO-10001385,Furniture,Bookcases,4,18,2053.0
FUR-BO-10001387,Furniture,Bookcases,4,17,1181.239
FUR-BO-10001390,Furniture,Bookcases,4,12,1097.0
FUR-BO-10001392,Furniture,Bookcases,4,10,1572.485
FUR-BO-10001393,Furniture,Bookcases,6,25,2738.108
FUR-BO-10001405,Furniture,Bookcases,8,38,4482.0
FUR-BO-10001436,Furniture,Bookcases,2,14,224.19
FUR-BO-10001452,Furniture,Bookcases,1,2,248.0
FUR-BO-10001461,Furniture,Bookcases,4,11,2123.0
FUR-BO-10001471,Furniture,Bookcases,4,26,445.103
FUR-BO-10001476,Furniture,Bookcases,5,9,805.0
FUR-BO-10001483,Furniture,Bookcases,9,39,2404.0
FUR-BO-10001498,Furniture,Bookcases,10,40,3193.5389999999998
FUR-BO-10001501,Furniture,Bookcases,9,32,2153.417
FUR-BO-10001507,Furniture,Bookcases,1,2,485.0
FUR-BO-10001519,Furniture,Bookcases,5,22,1118.0
FUR-BO-10001524,Furniture,Bookcases,1,5,166.0
FUR-BO-10001537,Furniture,Bookcases,3,9,1103.0
FUR-BO-10001541,Furniture,Bookcases,6,28,1909.029
FUR-BO-10001553,Furniture,Bookcases,4,20,7.481000000000001
FUR-BO-10001555,Furniture,Bookcases,3,10,1235.0
FUR-BO-10001558,Furniture,Bookcases,2,8,953.0
FUR-BO-10001567,Furniture,Bookcases,1,3,91.0
FUR-BO-10001580,Furniture,Bookcases,6,31,2430.1059999999998
FUR-BO-10001585,Furniture,Bookcases,9,25,2658.0
FUR-BO-10001596,Furniture,Bookcases,4,21,2142.46
FUR-BO-10001598,Furniture,Bookcases,6,24,1917.003
FUR-BO-10001601,Furniture,Bookcases,3,10,935.0
FUR-BO-10001608,Furniture,Bookcases,5,30,1570.0
FUR-BO-10001619,Furniture,Bookcases,2,6,425.0
FUR-BO-10001621,Furniture,Bookcases,6,18,2021.0
FUR-BO-10001641,Furniture,Bookcases,5,15,2139.0
FUR-BO-10001646,Furniture,Bookcases,14,43,4611.565
FUR-BO-10001668,Furniture,Bookcases,8,31,2289.456
FUR-BO-10001679,Furniture,Bookcases,4,11,1171.0
FUR-BO-10001699,Furniture,Bookcases,1,2,77.0
FUR-BO-10001708,Furniture,Bookcases,7,28,3591.0
FUR-BO-10001714,Furniture,Bookcases,2,9,980.0
FUR-BO-10001721,Furniture,Bookcases,4,10,776.0
FUR-BO-10001739,Furniture,Bookcases,6,21,2483.755
FUR-BO-10001746,Furniture,Bookcases,1,2,171.0
FUR-BO-10001749,Furniture,Bookcases,7,27,3101.015
FUR-BO-10001753,Furniture,Bookcases,9,34,3372.0
FUR-BO-10001779,Furniture,Bookcases,7,28,2805.0
FUR-BO-10001781,Furniture,Bookcases,8,30,2578.769
FUR-BO-10001798,Furniture,Bookcases,4,12,1264.0
FUR-BO-10001811,Furniture,Bookcases,8,26,1966.53
FUR-BO-10001822,Furniture,Bookcases,5,20,1018.355
FUR-BO-10001831,Furniture,Bookcases,4,12,2270.0
FUR-BO-10001834,Furniture,Bookcases,4,14,1899.0
FUR-BO-10001835,Furniture,Bookcases,1,2,780.0
FUR-BO-10001860,Furniture,Bookcases,5,20,2457.0
FUR-BO-10001867,Furniture,Bookcases,7,21,1528.0
FUR-BO-10001872,Furniture,Bookcases,1,6,449.0
FUR-BO-10001873,Furniture,Bookcases,2,6,674.0
FUR-BO-10001874,Furniture,Bookcases,8,29,2937.1059999999998
FUR-BO-10001875,Furniture,Bookcases,2,5,368.467
FUR-BO-10001876,Furniture,Bookcases,1,6,814.0
FUR-BO-10001888,Furniture,Bookcases,3,5,768.0
FUR-BO-10001892,Furniture,Bookcases,4,11,1363.217
FUR-BO-10001918,Furniture,Bookcases,3,10,1015.0
FUR-BO-10001934,Furniture,Bookcases,14,52,4555.55
FUR-BO-10001943,Furniture,Bookcases,3,12,705.508
FUR-BO-10001946,Furniture,Bookcases,8,31,3014.0
FUR-BO-10001966,Furniture,Bookcases,3,9,686.0
FUR-BO-10001967,Furniture,Bookcases,3,10,1337.0
FUR-BO-10001969,Furniture,Bookcases,4,19,1546.0
FUR-BO-10001972,Furniture,Bookcases,7,37,1404.337
FUR-BO-10002000,Furniture,Bookcases,5,18,1949.0990000000002
FUR-BO-10002003,Furniture,Bookcases,5,26,1530.314
FUR-BO-10002008,Furniture,Bookcases,3,5,328.0
FUR-BO-10002031,Furniture,Bookcases,6,20,2170.205
FUR-BO-10002032,Furniture,Bookcases,4,15,633.115
FUR-BO-10002042,Furniture,Bookcases,1,2,220.0
FUR-BO-10002084,Furniture,Bookcases,5,17,2943.0
FUR-BO-10002109,Furniture,Bookcases,3,13,909.0
FUR-BO-10002133,Furniture,Bookcases,3,8,950.0
FUR-BO-10002142,Furniture,Bookcases,2,5,933.0
FUR-BO-10002182,Furniture,Bookcases,7,24,4120.0
FUR-BO-10002202,Furniture,Bookcases,2,3,400.0
FUR-BO-10002204,Furniture,Bookcases,8,38,3124.223
FUR-BO-10002206,Furniture,Bookcases,1,1,120.0
FUR-BO-10002213,Furniture,Bookcases,10,42,3512.419
FUR-BO-10002214,Furniture,Bookcases,8,33,2710.0
FUR-BO-10002235,Furniture,Bookcases,5,14,1195.0
FUR-BO-10002250,Furniture,Bookcases,4,12,1376.0
FUR-BO-10002268,Furniture,Bookcases,3,16,755.0
FUR-BO-10002277,Furniture,Bookcases,4,16,2662.0
FUR-BO-10002285,Furniture,Bookcases,2,8,1048.0
FUR-BO-10002289,Furniture,Bookcases,2,5,622.0
FUR-BO-10002300,Furniture,Bookcases,10,40,3598.477
FUR-BO-10002308,Furniture,Bookcases,6,24,2564.962
FUR-BO-10002309,Furniture,Bookcases,2,4,320.0
FUR-BO-10002318,Furniture,Bookcases,4,10,1118.728
FUR-BO-10002324,Furniture,Bookcases,4,19,1771.0
FUR-BO-10002325,Furniture,Bookcases,4,12,2527.0
FUR-BO-10002334,Furniture,Bookcases,2,5,403.0
FUR-BO-10002346,Furniture,Bookcases,7,31,2123.0
FUR-BO-10002352,Furniture,Bookcases,7,27,2300.0
FUR-BO-10002378,Furniture,Bookcases,5,13,1090.0
FUR-BO-10002383,Furniture,Bookcases,11,48,4779.0
FUR-BO-10002387,Furniture,Bookcases,3,14,705.286
FUR-BO-10002390,Furniture,Bookcases,7,17,2782.63
FUR-BO-10002423,Furniture,Bookcases,4,7,1048.0
FUR-BO-10002444,Furniture,Bookcases,3,11,1484.54
FUR-BO-10002462,Furniture,Bookcases,4,12,1515.3049999999998
FUR-BO-10002471,Furniture,Bookcases,5,15,1570.0
FUR-BO-10002510,Furniture,Bookcases,12,38,5490.0
FUR-BO-10002529,Furniture,Bookcases,1,7,2.452
FUR-BO-10002545,Furniture,Bookcases,8,35,3380.163
FUR-BO-10002574,Furniture,Bookcases,1,4,132.0
FUR-BO-10002580,Furniture,Bookcases,3,14,1174.344
FUR-BO-10002592,Furniture,Bookcases,1,5,198.0
FUR-BO-10002598,Furniture,Bookcases,5,19,1321.0
FUR-BO-10002613,Furniture,Bookcases,6,27,2419.767
FUR-BO-10002632,Furniture,Bookcases,7,31,3361.041
FUR-BO-10002679,Furniture,Bookcases,8,36,2886.0
FUR-BO-10002680,Furniture,Bookcases,2,6,833.0
FUR-BO-10002682,Furniture,Bookcases,2,7,998.0
FUR-BO-10002708,Furniture,Bookcases,4,18,732.328
FUR-BO-10002736,Furniture,Bookcases,5,25,2137.175
FUR-BO-10002738,Furniture,Bookcases,4,7,744.0
FUR-BO-10002740,Furniture,Bookcases,4,18,2029.919
FUR-BO-10002766,Furniture,Bookcases,7,28,2809.127
FUR-BO-10002781,Furniture,Bookcases,4,23,1228.218
FUR-BO-10002782,Furniture,Bookcases,6,23,1814.0
FUR-BO-10002793,Furniture,Bookcases,2,10,237.574
FUR-BO-10002812,Furniture,Bookcases,6,23,2253.361
FUR-BO-10002819,Furniture,Bookcases,7,25,2866.0
FUR-BO-10002824,Furniture,Bookcases,3,6,749.0
FUR-BO-10002852,Furniture,Bookcases,1,2,252.0
FUR-BO-10002853,Furniture,Bookcases,4,9,541.0
FUR-BO-10002866,Furniture,Bookcases,1,6,1.582
FUR-BO-10002889,Furniture,Bookcases,2,12,224.117
FUR-BO-10002892,Furniture,Bookcases,5,24,888.668
FUR-BO-10002906,Furniture,Bookcases,3,11,755.0
FUR-BO-10002916,Furniture,Bookcases,4,15,1121.368
FUR-BO-10002926,Furniture,Bookcases,2,6,742.0
FUR-BO-10002936,Furniture,Bookcases,5,12,1389.0
FUR-BO-10002964,Furniture,Bookcases,3,15,1930.0
FUR-BO-10002968,Furniture,Bookcases,4,7,1456.0
FUR-BO-10002975,Furniture,Bookcases,5,16,984.0
FUR-BO-10002981,Furniture,Bookcases,8,27,2387.0
FUR-BO-10002985,Furniture,Bookcases,3,17,1439.0
FUR-BO-10002990,Furniture,Bookcases,6,27,2182.023
FUR-BO-10002992,Furniture,Bookcases,6,21,3141.208
FUR-BO-10003007,Furniture,Bookcases,6,24,2806.0
FUR-BO-10003022,Furniture,Bookcases,3,11,1550.0
FUR-BO-10003028,Furniture,Bookcases,6,24,2168.218
FUR-BO-10003029,Furniture,Bookcases,3,9,247.101
FUR-BO-10003034,Furniture,Bookcases,11,40,3827.0
FUR-BO-10003043,Furniture,Bookcases,3,7,634.0
FUR-BO-10003046,Furniture,Bookcases,6,18,1781.343
FUR-BO-10003078,Furniture,Bookcases,2,3,269.0
FUR-BO-10003086,Furniture,Bookcases,3,6,617.559
FUR-BO-10003103,Furniture,Bookcases,12,40,3026.594
FUR-BO-10003106,Furniture,Bookcases,7,34,1762.174
FUR-BO-10003112,Furniture,Bookcases,2,6,778.0
FUR-BO-10003126,Furniture,Bookcases,4,13,1632.718
FUR-BO-10003159,Furniture,Bookcases,12,43,3631.0
FUR-BO-10003174,Furniture,Bookcases,1,4,182.0
FUR-BO-10003181,Furniture,Bookcases,1,1,89.0
FUR-BO-10003185,Furniture,Bookcases,3,8,1358.0
FUR-BO-10003199,Furniture,Bookcases,4,14,832.214
FUR-BO-10003206,Furniture,Bookcases,5,20,1237.41
FUR-BO-10003221,Furniture,Bookcases,6,21,1824.0
FUR-BO-10003272,Furniture,Bookcases,6,21,2071.352
FUR-BO-10003282,Furniture,Bookcases,3,20,8.078000000000001
FUR-BO-10003284,Furniture,Bookcases,4,12,1156.0
FUR-BO-10003287,Furniture,Bookcases,3,15,1156.0
FUR-BO-10003291,Furniture,Bookcases,7,23,1329.0
FUR-BO-10003297,Furniture,Bookcases,8,28,2365.0
FUR-BO-10003301,Furniture,Bookcases,6,34,2129.377
FUR-BO-10003320,Furniture,Bookcases,3,12,549.461
FUR-BO-10003323,Furniture,Bookcases,5,25,2444.0
FUR-BO-10003326,Furniture,Bookcases,5,12,1030.0
FUR-BO-10003333,Furniture,Bookcases,3,9,1317.0
FUR-BO-10003383,Furniture,Bookcases,1,2,399.0
FUR-BO-10003384,Furniture,Bookcases,3,11,1243.0
FUR-BO-10003386,Furniture,Bookcases,1,2,338.0
FUR-BO-10003404,Furniture,Bookcases,2,8,3.4479999999999995
FUR-BO-10003408,Furniture,Bookcases,5,19,2486.0
FUR-BO-10003433,Furniture,Bookcases,3,14,322.0
FUR-BO-10003438,Furniture,Bookcases,11,52,3768.0
FUR-BO-10003441,Furniture,Bookcases,6,18,1472.0
FUR-BO-10003450,Furniture,Bookcases,3,14,650.0
FUR-BO-10003463,Furniture,Bookcases,6,28,1595.0
FUR-BO-10003499,Furniture,Bookcases,8,25,3164.167
FUR-BO-10003530,Furniture,Bookcases,4,11,1213.0
FUR-BO-10003541,Furniture,Bookcases,7,20,1860.894
FUR-BO-10003543,Furniture,Bookcases,5,17,1967.0
FUR-BO-10003546,Furniture,Bookcases,4,22,1474.0
FUR-BO-10003549,Furniture,Bookcases,6,33,1853.288
FUR-BO-10003554,Furniture,Bookcases,5,23,3081.0
FUR-BO-10003559,Furniture,Bookcases,7,18,2271.0
FUR-BO-10003563,Furniture,Bookcases,7,22,1984.0
FUR-BO-10003589,Furniture,Bookcases,1,1,102.0
FUR-BO-10003604,Furniture,Bookcases,2,10,1256.0
FUR-BO-10003631,Furniture,Bookcases,7,19,1549.0
FUR-BO-10003647,Furniture,Bookcases,1,2,826.0
FUR-BO-10003660,Furniture,Bookcases,3,4,729.0
FUR-BO-10003661,Furniture,Bookcases,1,7,1.362
FUR-BO-10003668,Furniture,Bookcases,1,2,157.0
FUR-BO-10003688,Furniture,Bookcases,8,19,1192.0
FUR-BO-10003697,Furniture,Bookcases,5,21,2910.076
FUR-BO-10003706,Furniture,Bookcases,7,23,1599.482
FUR-BO-10003713,Furniture,Bookcases,2,8,959.0
FUR-BO-10003734,Furniture,Bookcases,4,18,1235.538
FUR-BO-10003738,Furniture,Bookcases,5,12,2738.46
FUR-BO-10003768,Furniture,Bookcases,4,23,1556.0
FUR-BO-10003779,Furniture,Bookcases,4,11,2036.817
FUR-BO-10003783,Furniture,Bookcases,5,20,1695.801
FUR-BO-10003793,Furniture,Bookcases,5,21,1335.2849999999999
FUR-BO-10003828,Furniture,Bookcases,6,16,2114.0
FUR-BO-10003873,Furniture,Bookcases,4,15,1728.831
FUR-BO-10003878,Furniture,Bookcases,4,10,1368.0
FUR-BO-10003880,Furniture,Bookcases,1,7,230.0
FUR-BO-10003881,Furniture,Bookcases,7,20,3784.0
FUR-BO-10003887,Furniture,Bookcases,8,30,3178.022
FUR-BO-10003893,Furniture,Bookcases,2,16,1368.0
FUR-BO-10003894,Furniture,Bookcases,3,14,803.0
FUR-BO-10003903,Furniture,Bookcases,5,16,886.1569999999999
FUR-BO-10003904,Furniture,Bookcases,4,10,862.0
FUR-BO-10003905,Furniture,Bookcases,7,30,3252.0
FUR-BO-10003913,Furniture,Bookcases,5,20,1670.0520000000001
FUR-BO-10003945,Furniture,Bookcases,8,26,3790.0
FUR-BO-10003965,Furniture,Bookcases,4,12,1647.0
FUR-BO-10003966,Furniture,Bookcases,4,10,1428.0
FUR-BO-10003968,Furniture,Bookcases,2,5,781.053
FUR-BO-10003985,Furniture,Bookcases,1,4,1.046
FUR-BO-10003991,Furniture,Bookcases,5,18,1573.447
FUR-BO-10004015,Furniture,Bookcases,9,34,3318.0
FUR-BO-10004032,Furniture,Bookcases,1,4,134.0
FUR-BO-10004043,Furniture,Bookcases,3,15,6.154
FUR-BO-10004053,Furniture,Bookcases,7,18,4489.086
FUR-BO-10004055,Furniture,Bookcases,5,19,2010.0
FUR-BO-10004075,Furniture,Bookcases,5,20,1882.0
FUR-BO-10004080,Furniture,Bookcases,4,20,1839.0
FUR-BO-10004082,Furniture,Bookcases,3,9,930.452
FUR-BO-10004098,Furniture,Bookcases,1,6,397.0
FUR-BO-10004103,Furniture,Bookcases,1,3,291.0
FUR-BO-10004113,Furniture,Bookcases,9,27,5134.041
FUR-BO-10004119,Furniture,Bookcases,9,37,3017.385
FUR-BO-10004129,Furniture,Bookcases,2,10,877.624
FUR-BO-10004135,Furniture,Bookcases,2,6,490.0
FUR-BO-10004142,Furniture,Bookcases,7,25,3798.629
FUR-BO-10004161,Furniture,Bookcases,6,20,2148.0
FUR-BO-10004162,Furniture,Bookcases,7,28,2771.0
FUR-BO-10004191,Furniture,Bookcases,4,11,1525.0
FUR-BO-10004199,Furniture,Bookcases,4,17,2084.0
FUR-BO-10004218,Furniture,Bookcases,8,34,2428.198
FUR-BO-10004219,Furniture,Bookcases,3,17,624.02
FUR-BO-10004230,Furniture,Bookcases,5,14,1628.0
FUR-BO-10004238,Furniture,Bookcases,1,2,66.0
FUR-BO-10004254,Furniture,Bookcases,6,18,747.3520000000001
FUR-BO-10004312,Furniture,Bookcases,1,2,319.0
FUR-BO-10004316,Furniture,Bookcases,2,4,549.0
FUR-BO-10004327,Furniture,Bookcases,4,10,1124.0
FUR-BO-10004340,Furniture,Bookcases,8,28,3234.29
FUR-BO-10004357,Furniture,Bookcases,4,17,1497.4070000000002
FUR-BO-10004360,Furniture,Bookcases,2,4,489.0
FUR-BO-10004371,Furniture,Bookcases,1,5,549.0
FUR-BO-10004388,Furniture,Bookcases,4,15,1527.2649999999999
FUR-BO-10004399,Furniture,Bookcases,4,12,1768.0
FUR-BO-10004404,Furniture,Bookcases,4,13,1484.0
FUR-BO-10004407,Furniture,Bookcases,8,33,3214.0
FUR-BO-10004408,Furniture,Bookcases,4,16,1819.0
FUR-BO-10004409,Furniture,Bookcases,6,17,858.0
FUR-BO-10004423,Furniture,Bookcases,6,23,1593.0
FUR-BO-10004425,Furniture,Bookcases,6,21,2705.821
FUR-BO-10004430,Furniture,Bookcases,6,18,1827.024
FUR-BO-10004434,Furniture,Bookcases,1,1,363.0
FUR-BO-10004441,Furniture,Bookcases,4,17,1743.693
FUR-BO-10004445,Furniture,Bookcases,4,20,2268.0
FUR-BO-10004452,Furniture,Bookcases,3,12,1546.38
FUR-BO-10004459,Furniture,Bookcases,6,18,1621.0
FUR-BO-10004467,Furniture,Bookcases,8,31,1898.0
FUR-BO-10004472,Furniture,Bookcases,8,26,3930.213
FUR-BO-10004483,Furniture,Bookcases,2,8,1236.0
FUR-BO-10004504,Furniture,Bookcases,9,37,3361.0
FUR-BO-10004507,Furniture,Bookcases,3,9,995.0
FUR-BO-10004508,Furniture,Bookcases,4,16,1843.0
FUR-BO-10004529,Furniture,Bookcases,9,26,3998.0
FUR-BO-10004537,Furniture,Bookcases,3,8,1194.0
FUR-BO-10004541,Furniture,Bookcases,6,16,1996.504
FUR-BO-10004547,Furniture,Bookcases,9,28,3271.0
FUR-BO-10004558,Furniture,Bookcases,2,9,312.815
FUR-BO-10004560,Furniture,Bookcases,3,15,1339.217
FUR-BO-10004565,Furniture,Bookcases,5,17,1551.0
