product_code,popularidad_global,ventas_acumuladas,clientes_distintos,unidades_acumuladas
FUR-BO-10001405,8,4482.0,8,38
FUR-BO-10001436,2,224.19,2,14
FUR-BO-10001452,1,248.0,1,2
FUR-BO-10001461,4,2123.0,4,11
FUR-BO-10001471,4,445.103,4,26
FUR-BO-10001476,5,805.0,5,9
FUR-BO-10001483,9,2404.0,9,39
FUR-BO-10001498,10,3193.5389999999998,10,40
FUR-BO-10001501,9,2153.417,9,32
FUR-BO-10001507,1,485.0,1,2
FUR-BO-10001519,5,1118.0,5,22
FUR-BO-10001524,1,166.0,1,5
FUR-BO-10001537,3,1103.0,3,9
FUR-BO-10001541,6,1909.029,6,28
FUR-BO-10001553,4,7.481000000000001,4,20
FUR-BO-10001555,3,1235.0,3,10
FUR-BO-10001558,2,953.0,2,8
FUR-BO-10001567,1,91.0,1,3
FUR-BO-10001580,6,2430.1059999999998,6,31
FUR-BO-10001585,9,2658.0,9,25
FUR-BO-10001596,4,2142.46,4,21
FUR-BO-10001598,6,1917.003,6,24
FUR-BO-10001601,3,935.0,3,10
FUR-BO-10001608,5,1570.0,5,30
FUR-BO-10001619,2,425.0,2,6
FUR-BO-10001621,6,2021.0,6,18
FUR-BO-10001641,5,2139.0,5,15
FUR-BO-10001646,14,4611.565,13,43
FUR-BO-10001668,8,2289.456,8,31
FUR-BO-10001679,4,1171.0,4,11
FUR-BO-10001699,1,77.0,1,2
FUR-BO-10001708,7,3591.0,7,28
FUR-BO-10001714,2,980.0,2,9
FUR-BO-10001721,4,776.0,4,10
FUR-BO-10001739,6,2483.755,6,21
FUR-BO-10001746,1,171.0,1,2
FUR-BO-10001749,7,3101.015,7,27
FUR-BO-10001753,9,3372.0,9,34
FUR-BO-10001779,7,2805.0,7,28
FUR-BO-10001781,8,2578.769,8,30
FUR-BO-10001798,4,1264.0,4,12
FUR-BO-10001811,8,1966.53,8,26
FUR-BO-10001822,5,1018.355,5,20
FUR-BO-10001831,4,2270.0,4,12
FUR-BO-10001834,4,1899.0,4,14
FUR-BO-10001835,1,780.0,1,2
FUR-BO-10001860,5,2457.0,5,20
FUR-BO-10001867,7,1528.0,7,21
FUR-BO-10001872,1,449.0,1,6
FUR-BO-10001873,2,674.0,2,6
FUR-BO-10001874,8,2937.1059999999998,8,29
FUR-BO-10001875,2,368.467,2,5
FUR-BO-10001876,1,814.0,1,6
FUR-BO-10001888,3,768.0,3,5
FUR-BO-10001892,4,1363.217,4,11
FUR-BO-10001918,3,1015.0,3,10
FUR-BO-10001934,14,4555.55,14,52
FUR-BO-10001943,3,705.508,3,12
FUR-BO-10001946,8,3014.0,8,31
FUR-BO-10001966,3,686.0,3,9
FUR-BO-10001967,3,1337.0,3,10
FUR-BO-10001969,4,1546.0,4,19
FUR-BO-10001972,7,1404.337,7,37
FUR-BO-10002000,5,1949.0990000000002,5,18
FUR-BO-10002003,5,1530.314,5,26
FUR-BO-10002008,3,328.0,3,5
FUR-BO-10002031,6,2170.205,6,20
FUR-BO-10002032,4,633.115,4,15
FUR-BO-10002042,1,220.0,1,2
FUR-BO-10002084,5,2943.0,5,17
FUR-BO-10002109,3,909.0,3,13
FUR-BO-10002133,3,950.0,3,8
FUR-BO-10002142,2,933.0,2,5
FUR-BO-10002182,7,4120.0,7,24
FUR-BO-10002202,2,400.0,2,3
FUR-BO-10002204,8,3124.223,8,38
FUR-BO-10002206,1,120.0,1,1
FUR-BO-10002213,10,3512.419,10,42
FUR-BO-10002214,8,2710.0,8,33
FUR-BO-10002235,5,1195.0,5,14
FUR-BO-10002250,4,1376.0,4,12
FUR-BO-10002268,3,755.0,3,16
FUR-BO-10002277,4,2662.0,4,16
FUR-BO-10002285,2,1048.0,2,8
FUR-BO-10002289,2,622.0,2,5
FUR-BO-10002300,10,3598.477,10,40
FUR-BO-10002308,6,2564.962,6,24
FUR-BO-10002309,2,320.0,2,4
FUR-BO-10002318,4,1118.728,4,10
FUR-BO-10002324,4,1771.0,4,19
FUR-BO-10002325,4,2527.0,4,12
FUR-BO-10002334,2,403.0,2,5
FUR-BO-10002346,7,2123.0,7,31
FUR-BO-10002352,7,2300.0,7,27
FUR-BO-10002378,5,1090.0,5,13
FUR-BO-10002383,11,4779.0,11,48
FUR-BO-10002387,3,705.286,3,14
FUR-BO-10002390,7,2782.63,7,17
FUR-BO-10002423,4,1048.0,4,7
FUR-BO-10002444,3,1484.54,3,11
FUR-BO-10002462,4,1515.3049999999998,4,12
FUR-BO-10002471,5,1570.0,5,15
FUR-BO-10002510,12,5490.0,12,38
FUR-BO-10002529,1,2.452,1,7
FUR-BO-10002545,8,3380.163,8,35
FUR-BO-10002574,1,132.0,1,4
FUR-BO-10002580,3,1174.344,3,14
FUR-BO-10002592,1,198.0,1,5
FUR-BO-10002598,5,1321.0,5,19
FUR-BO-10002613,6,2419.767,6,27
FUR-BO-10002632,7,3361.041,6,31
FUR-BO-10002679,8,2886.0,8,36
FUR-BO-10002680,2,833.0,2,6
FUR-BO-10002682,2,998.0,2,7
FUR-BO-10002708,4,732.328,4,18
FUR-BO-10002736,5,2137.175,5,25
FUR-BO-10002738,4,744.0,4,7
FUR-BO-10002740,4,2029.919,4,18
FUR-BO-10002766,7,2809.127,7,28
FUR-BO-10002781,4,1228.218,4,23
FUR-BO-10002782,6,1814.0,6,23
FUR-BO-10002793,2,237.574,2,10
FUR-BO-10002812,6,2253.361,6,23
FUR-BO-10002819,7,2866.0,7,25
FUR-BO-10002824,3,749.0,3,6
FUR-BO-10002852,1,252.0,1,2
FUR-BO-10002853,4,541.0,4,9
FUR-BO-10002866,1,1.582,1,6
FUR-BO-10002889,2,224.117,2,12
FUR-BO-10002892,5,888.668,5,24
FUR-BO-10002906,3,755.0,3,11
FUR-BO-10002916,4,1121.368,4,15
FUR-BO-10002926,2,742.0,2,6
FUR-BO-10002936,5,1389.0,5,12
FUR-BO-10002964,3,1930.0,3,15
FUR-BO-10002968,4,1456.0,4,7
FUR-BO-10002975,5,984.0,5,16
FUR-BO-10002981,8,2387.0,8,27
FUR-BO-10002985,3,1439.0,3,17
FUR-BO-10002990,6,2182.023,6,27
FUR-BO-10002992,6,3141.208,6,21
FUR-BO-10003007,6,2806.0,6,24
FUR-BO-10003022,3,1550.0,3,11
FUR-BO-10003028,6,2168.218,6,24
FUR-BO-10003029,3,247.101,3,9
FUR-BO-10003034,11,3827.0,11,40
FUR-BO-10003043,3,634.0,3,7
FUR-BO-10003046,6,1781.343,6,18
FUR-BO-10003078,2,269.0,2,3
FUR-BO-10003086,3,617.559,3,6
FUR-BO-10003103,12,3026.594,12,40
FUR-BO-10003106,7,1762.174,7,34
FUR-BO-10003112,2,778.0,2,6
FUR-BO-10003126,4,1632.718,4,13
FUR-BO-10003159,12,3631.0,12,43
FUR-BO-10003174,1,182.0,1,4
FUR-BO-10003181,1,89.0,1,1
FUR-BO-10003185,3,1358.0,3,8
FUR-BO-10003199,4,832.214,4,14
FUR-BO-10003206,5,1237.41,5,20
FUR-BO-10003221,6,1824.0,6,21
FUR-BO-10003272,6,2071.352,6,21
FUR-BO-10003282,3,8.078000000000001,3,20
FUR-BO-10003284,4,1156.0,4,12
FUR-BO-10003287,3,1156.0,3,15
FUR-BO-10003291,7,1329.0,7,23
FUR-BO-10003297,8,2365.0,8,28
FUR-BO-10003301,6,2129.377,6,34
FUR-BO-10003320,3,549.461,3,12
FUR-BO-10003323,5,2444.0,5,25
FUR-BO-10003326,5,1030.0,5,12
FUR-BO-10003333,3,1317.0,3,9
FUR-BO-10003383,1,399.0,1,2
FUR-BO-10003384,3,1243.0,3,11
FUR-BO-10003386,1,338.0,1,2
FUR-BO-10003404,2,3.4479999999999995,2,8
FUR-BO-10003408,5,2486.0,5,19
FUR-BO-10003433,3,322.0,3,14
FUR-BO-10003438,11,3768.0,11,52
FUR-BO-10003441,6,1472.0,6,18
FUR-BO-10003450,3,650.0,3,14
FUR-BO-10003463,6,1595.0,6,28
FUR-BO-10003499,8,3164.167,8,25
FUR-BO-10003530,4,1213.0,4,11
FUR-BO-10003541,7,1860.894,7,20
FUR-BO-10003543,5,1967.0,5,17
FUR-BO-10003546,4,1474.0,4,22
FUR-BO-10003549,6,1853.288,6,33
FUR-BO-10003554,5,3081.0,5,23
FUR-BO-10003559,7,2271.0,7,18
FUR-BO-10003563,7,1984.0,7,22
FUR-BO-10003589,1,102.0,1,1
FUR-BO-10003604,2,1256.0,2,10
FUR-BO-10003631,7,1549.0,7,19
FUR-BO-10003647,1,826.0,1,2
FUR-BO-10003660,3,729.0,3,4
FUR-BO-10003661,1,1.362,1,7
FUR-BO-10003668,1,157.0,1,2
FUR-BO-10003688,8,1192.0,8,19
FUR-BO-10003697,5,2910.076,5,21
FUR-BO-10003706,7,1599.482,7,23
FUR-BO-10003713,2,959.0,2,8
FUR-BO-10003734,4,1235.538,4,18
FUR-BO-10003738,5,2738.46,5,12
FUR-BO-10003768,4,1556.0,4,23
FUR-BO-10003779,4,2036.817,4,11
FUR-BO-10003783,5,1695.801,5,20
FUR-BO-10003793,5,1335.2849999999999,5,21
FUR-BO-10003828,6,2114.0,6,16
FUR-BO-10003873,4,1728.831,4,15
FUR-BO-10003878,4,1368.0,4,10
FUR-BO-10003880,1,230.0,1,7
FUR-BO-10003881,7,3784.0,7,20
FUR-BO-10003887,8,3178.022,8,30
FUR-BO-10003893,2,1368.0,2,16
FUR-BO-10003894,3,803.0,3,14
FUR-BO-10003903,5,886.1569999999999,5,16
FUR-BO-10003904,4,862.0,4,10
FUR-BO-10003905,7,3252.0,7,30
FUR-BO-10003913,5,1670.0520000000001,5,20
FUR-BO-10003945,8,3790.0,8,26
FUR-BO-10003965,4,1647.0,4,12
FUR-BO-10003966,4,1428.0,4,10
FUR-BO-10003968,2,781.053,2,5
FUR-BO-10003985,1,1.046,1,4
FUR-BO-10003991,5,1573.447,5,18
FUR-BO-10004015,9,3318.0,9,34
FUR-BO-10004032,1,134.0,1,4
FUR-BO-10004043,3,6.154,3,15
FUR-BO-10004053,7,4489.086,7,18
FUR-BO-10004055,5,2010.0,5,19
FUR-BO-10004075,5,1882.0,5,20
FUR-BO-10004080,4,1839.0,4,20
FUR-BO-10004082,3,930.452,3,9
FUR-BO-10004098,1,397.0,1,6
FUR-BO-10004103,1,291.0,1,3
FUR-BO-10004113,9,5134.041,9,27
FUR-BO-10004119,9,3017.385,9,37
FUR-BO-10004129,2,877.624,2,10
FUR-BO-10004135,2,490.0,2,6
FUR-BO-10004142,7,3798.629,7,25
FUR-BO-10004161,6,2148.0,6,20
FUR-BO-10004162,7,2771.0,7,28
FUR-BO-10004191,4,1525.0,4,11
FUR-BO-10004199,4,2084.0,4,17
FUR-BO-10004218,8,2428.198,8,34
FUR-BO-10004219,3,624.02,3,17
FUR-BO-10004230,5,1628.0,5,14
FUR-BO-10004238,1,66.0,1,2
FUR-BO-10004254,6,747.3520000000001,6,18
FUR-BO-10004312,1,319.0,1,2
FUR-BO-10004316,2,549.0,2,4
FUR-BO-10004327,4,1124.0,4,10
FUR-BO-10004340,8,3234.29,8,28
FUR-BO-10004357,4,1497.4070000000002,4,17
FUR-BO-10004360,2,489.0,2,4
FUR-BO-10004371,1,549.0,1,5
FUR-BO-10004388,4,1527.2649999999999,4,15
FUR-BO-10004399,4,1768.0,4,12
FUR-BO-10004404,4,1484.0,4,13
FUR-BO-10004407,8,3214.0,8,33
FUR-BO-10004408,4,1819.0,4,16
FUR-BO-10004409,6,858.0,6,17
FUR-BO-10004423,6,1593.0,6,23
FUR-BO-10004425,6,2705.821,6,21
FUR-BO-10004430,6,1827.024,6,18
FUR-BO-10004434,1,363.0,1,1
FUR-BO-10004441,4,1743.693,4,17
FUR-BO-10004445,4,2268.0,4,20
FUR-BO-10004452,3,1546.38,3,12
FUR-BO-10004459,6,1621.0,6,18
FUR-BO-10004467,8,1898.0,8,31
FUR-BO-10004472,8,3930.213,8,26
FUR-BO-10004483,2,1236.0,2,8
FUR-BO-10004504,9,3361.0,9,37
FUR-BO-10004507,3,995.0,3,9
FUR-BO-10004508,4,1843.0,4,16
FUR-BO-10004529,9,3998.0,8,26
FUR-BO-10004537,3,1194.0,3,8
FUR-BO-10004541,6,1996.504,6,16
FUR-BO-10004547,9,3271.0,9,28
FUR-BO-10004558,2,312.815,2,9
FUR-BO-10004560,3,1339.217,3,15
FUR-BO-10004565,5,1551.0,5,17
FUR-BO-10004567,8,2039.0,8,20
FUR-BO-10004585,4,2506.0,4,19
FUR-BO-10004620,3,1057.0,3,9
FUR-BO-10004630,3,1649.9270000000001,3,13
FUR-BO-10004633,2,1901.0,2,14
FUR-BO-10004648,3,6.477,3,17
FUR-BO-10004660,3,1279.394,3,9
FUR-BO-10004665,5,1538.555,5,21
FUR-BO-10004670,1,730.0,1,2
FUR-BO-10004679,8,17.433,8,49
FUR-BO-10004681,1,244.0,1,2
FUR-BO-10004690,2,1072.0,2,9
FUR-BO-10004695,7,1993.896,7,31
FUR-BO-10004699,6,2563.0,6,18
FUR-BO-10004704,5,1968.0,5,19
FUR-BO-10004707,6,1969.667,6,32
FUR-BO-10004709,12,2919.898,11,43
FUR-BO-10004725,5,2840.239,5,19
FUR-BO-10004771,8,790.809,8,42
FUR-BO-10004773,4,2127.0,4,14
FUR-BO-10004806,6,1750.779,6,29
FUR-BO-10004821,6,4221.0,6,37
FUR-BO-10004824,5,1114.069,5,17
FUR-BO-10004834,8,172.233,8,41
FUR-BO-10004842,3,1655.028,3,20
FUR-BO-10004844,3,1798.0,3,13
FUR-BO-10004852,7,1452.036,7,35
FUR-BO-10004878,1,171.0,1,2
FUR-BO-10004899,3,1426.0,3,14
FUR-BO-10004911,5,2363.0,5,20
FUR-BO-10004914,9,2665.0,9,21
FUR-BO-10004917,3,487.0,3,4
FUR-BO-10004924,2,2.584,2,10
FUR-BO-10004926,2,305.064,2,9
FUR-BO-10004935,1,133.0,1,4
FUR-BO-10004947,7,2660.218,7,30
FUR-BO-10004980,2,685.0,2,3
FUR-BO-10004999,5,10.372,5,25
FUR-BUS-10000332,4,2040.0,4,8
FUR-BUS-10000984,2,616.0,2,5
FUR-BUS-10001187,2,1483.0,2,6
FUR-BUS-10001243,4,1493.312,4,13
FUR-BUS-10001781,1,2.183,1,6
FUR-BUS-10001876,1,43.0,1,1
FUR-BUS-10002040,9,2167.934,9,20
FUR-BUS-10002138,3,882.0,3,7
FUR-BUS-10002192,1,143.0,1,1
FUR-BUS-10002639,8,2201.0,8,33
FUR-BUS-10002989,3,2475.0,3,6
FUR-BUS-10003055,5,1349.0,4,15
FUR-BUS-10003368,2,799.0,2,6
FUR-BUS-10003708,2,197.0,2,3
FUR-BUS-10003724,1,741.0,1,6
FUR-BUS-10004121,3,278.0,3,4
FUR-BUS-10004336,3,471.0,3,5
FUR-BUS-10004475,3,565.0,3,4
FUR-BUS-10004622,2,250.0,2,2
FUR-BUS-10004644,1,731.0,1,2
FUR-BUS-10004820,6,1786.661,6,9
FUR-BUS-10004854,7,2210.0,7,17
FUR-BUS-10004882,3,649.0,3,5
FUR-CH-10000005,1,564.0,1,2
FUR-CH-10000013,2,513.0,2,9
FUR-CH-10000015,6,2645.942,6,36
FUR-CH-10000025,10,3971.0,10,33
FUR-CH-10000026,15,5350.0,15,47
FUR-CH-10000027,12,3102.245,12,50
FUR-CH-10000042,1,355.0,1,2
FUR-CH-10000051,2,3.979,2,10
FUR-CH-10000068,5,1288.0,5,21
FUR-CH-10000089,1,137.0,1,4
FUR-CH-10000105,16,2676.0,16,83
FUR-CH-10000110,7,1104.0,7,29
FUR-CH-10000117,6,1626.0,6,22
FUR-CH-10000133,3,1251.0,3,16
FUR-CH-10000136,1,53.0,1,2
FUR-CH-10000155,6,3528.0,6,14
FUR-CH-10000171,4,589.0,4,12
FUR-CH-10000182,1,77.0,1,5
FUR-CH-10000187,10,1614.0,10,34
FUR-CH-10000213,2,1326.0,2,9
FUR-CH-10000214,5,762.0,5,14
FUR-CH-10000225,7,1758.0,7,25
FUR-CH-10000229,4,2032.0,4,10
FUR-CH-10000233,7,535.0,7,18
FUR-CH-10000258,9,2671.0,9,33
FUR-CH-10000265,8,1631.0,8,37
FUR-CH-10000294,6,2959.218,6,24
FUR-CH-10000302,9,1680.0,9,24
FUR-CH-10000309,5,1778.31,5,17
FUR-CH-10000326,5,1980.0,5,27
FUR-CH-10000333,3,1043.0,3,8
FUR-CH-10000336,5,695.0,5,22
FUR-CH-10000343,6,2805.219,6,16
FUR-CH-10000351,13,2558.0,13,47
FUR-CH-10000373,1,167.0,1,2
FUR-CH-10000391,8,1218.0,8,29
FUR-CH-10000399,4,1030.327,4,16
FUR-CH-10000414,7,633.0,7,23
FUR-CH-10000422,9,2647.0,9,34
FUR-CH-10000423,4,861.0,4,16
FUR-CH-10000430,13,5321.058,13,58
FUR-CH-10000432,12,5078.096,12,39
FUR-CH-10000438,1,141.0,1,4
FUR-CH-10000454,12,5836.8060000000005,12,51
FUR-CH-10000470,1,552.0,1,2
FUR-CH-10000479,3,850.968,3,9
FUR-CH-10000488,4,649.0,4,11
FUR-CH-10000513,9,2952.8199999999997,9,42
FUR-CH-10000527,1,3.72,1,8
FUR-CH-10000528,5,1208.0,5,25
FUR-CH-10000546,3,718.952,3,14
FUR-CH-10000553,5,687.0,5,23
FUR-CH-10000568,1,68.0,1,2
FUR-CH-10000583,3,1201.2,3,16
FUR-CH-10000595,8,3767.931,8,27
FUR-CH-10000602,8,686.888,8,36
FUR-CH-10000603,5,627.0,5,15
FUR-CH-10000604,1,115.0,1,3
FUR-CH-10000608,6,1306.0,6,25
FUR-CH-10000656,5,1816.0,5,19
FUR-CH-10000660,7,2073.248,7,27
FUR-CH-10000663,2,831.0,2,11
FUR-CH-10000665,9,3955.0,9,32
FUR-CH-10000666,1,69.0,1,2
FUR-CH-10000667,4,421.0,4,11
FUR-CH-10000677,5,586.0,5,15
FUR-CH-10000685,3,826.52,3,10
FUR-CH-10000689,1,36.0,1,1
FUR-CH-10000690,2,165.0,2,7
FUR-CH-10000694,6,1101.0,6,16
FUR-CH-10000727,2,313.0,2,5
FUR-CH-10000745,6,1584.0,6,30
FUR-CH-10000749,2,580.629,2,13
FUR-CH-10000774,1,274.0,1,2
FUR-CH-10000777,8,4273.702,8,26
FUR-CH-10000783,3,850.23,3,11
FUR-CH-10000785,11,4996.013,11,39
FUR-CH-10000788,10,2181.0,10,29
FUR-CH-10000790,1,116.0,1,2
FUR-CH-10000807,4,1917.0,4,16
FUR-CH-10000825,11,1645.0,11,31
FUR-CH-10000836,7,2499.0,7,22
FUR-CH-10000843,9,2845.967,9,21
FUR-CH-10000847,6,3172.455,5,18
FUR-CH-10000848,1,835.0,1,2
FUR-CH-10000852,10,1069.0,10,36
FUR-CH-10000857,2,1562.0,2,12
FUR-CH-10000863,8,2914.0,8,25
FUR-CH-10000885,10,5641.248,10,36
FUR-CH-10000891,8,2849.589,8,45
FUR-CH-10000892,6,2711.906,5,32
FUR-CH-10000920,1,243.0,1,2
FUR-CH-10000932,5,8.184999999999999,5,28
FUR-CH-10000953,8,3861.0,8,40
FUR-CH-10000966,6,1516.0,6,23
FUR-CH-10000969,4,1976.103,4,8
FUR-CH-10000974,7,2714.678,7,24
FUR-CH-10000981,1,750.0,1,5
FUR-CH-10000988,10,2874.422,10,44
FUR-CH-10000994,12,4840.013,12,47
FUR-CH-10000996,6,1322.0,6,24
FUR-CH-10001021,1,282.0,1,3
FUR-CH-10001037,3,804.0,3,14
FUR-CH-10001039,5,2064.0,5,20
FUR-CH-10001043,2,259.0,2,9
FUR-CH-10001044,7,1298.0,7,23
FUR-CH-10001051,5,973.0,5,21
FUR-CH-10001114,8,1095.0,8,32
FUR-CH-10001130,10,3770.0,10,35
FUR-CH-10001138,6,2266.0,6,16
FUR-CH-10001146,15,2441.0,14,51
FUR-CH-10001147,8,4288.0,8,30
FUR-CH-10001150,4,1140.0,4,15
FUR-CH-10001153,5,961.0,5,19
FUR-CH-10001187,1,352.0,1,6
FUR-CH-10001190,3,1088.0,3,10
FUR-CH-10001191,2,179.0,2,7
FUR-CH-10001203,8,2333.0,8,32
FUR-CH-10001204,6,976.0,6,12
FUR-CH-10001207,5,351.978,5,18
FUR-CH-10001215,9,3116.869,9,32
FUR-CH-10001220,1,178.0,1,4
FUR-CH-10001237,5,1886.306,5,22
FUR-CH-10001262,10,764.145,10,34
